amfi_code,scheme_name,fund_house,scheme_category,latest_date,latest_nav,previous_nav,day_change_pct,status
125497,SBI SMALL CAP FUND - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme - Small Cap Fund,04-09-2026,216.6525,216.4037,0.11,LIVE_SUCCESS
119551,Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan - IDCW-Re-investment,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund,04-09-2026,107.1574,107.1,0.05,LIVE_SUCCESS
119598,SBI Large Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme - Large Cap Fund,04-09-2026,103.333,103.368,-0.03,LIVE_SUCCESS
119552,Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan - MONTHLY DCW Payout,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund,04-09-2026,117.0546,116.9919,0.05,LIVE_SUCCESS
118636,Edelweiss Liquid Fund-Direct Plan-Growth Option,Edelweiss Mutual Fund,Income,25-11-2016,1529.8657,1529.6159,0.02,LIVE_SUCCESS
